 time            v(Vin)          v(Vout)        
 2.91250000e-08  0.00000000e+00  1.79999994e+00 
 2.91350000e-08  0.00000000e+00  1.80000004e+00 
 2.91450000e-08  0.00000000e+00  1.79999994e+00 
 2.91550000e-08  0.00000000e+00  1.80000003e+00 
 2.91650000e-08  0.00000000e+00  1.79999994e+00 
 2.91750000e-08  0.00000000e+00  1.80000003e+00 
 2.91850000e-08  0.00000000e+00  1.79999995e+00 
 2.91950000e-08  0.00000000e+00  1.80000003e+00 
 2.92050000e-08  0.00000000e+00  1.79999995e+00 
 2.92150000e-08  0.00000000e+00  1.80000003e+00 
 2.92250000e-08  0.00000000e+00  1.79999995e+00 
 2.92350000e-08  0.00000000e+00  1.80000003e+00 
 2.92450000e-08  0.00000000e+00  1.79999995e+00 
 2.92550000e-08  0.00000000e+00  1.80000003e+00 
 2.92650000e-08  0.00000000e+00  1.79999995e+00 
 2.92750000e-08  0.00000000e+00  1.80000003e+00 
 2.92850000e-08  0.00000000e+00  1.79999995e+00 
 2.92950000e-08  0.00000000e+00  1.80000003e+00 
 2.93050000e-08  0.00000000e+00  1.79999995e+00 
 2.93150000e-08  0.00000000e+00  1.80000003e+00 
 2.93250000e-08  0.00000000e+00  1.79999995e+00 
 2.93350000e-08  0.00000000e+00  1.80000003e+00 
 2.93450000e-08  0.00000000e+00  1.79999995e+00 
 2.93550000e-08  0.00000000e+00  1.80000003e+00 
 2.93650000e-08  0.00000000e+00  1.79999995e+00 
 2.93750000e-08  0.00000000e+00  1.80000003e+00 
 2.93850000e-08  0.00000000e+00  1.79999995e+00 
 2.93950000e-08  0.00000000e+00  1.80000003e+00 
 2.94050000e-08  0.00000000e+00  1.79999995e+00 
 2.94150000e-08  0.00000000e+00  1.80000003e+00 
 2.94250000e-08  0.00000000e+00  1.79999995e+00 
 2.94350000e-08  0.00000000e+00  1.80000003e+00 
 2.94450000e-08  0.00000000e+00  1.79999995e+00 
 2.94550000e-08  0.00000000e+00  1.80000003e+00 
 2.94650000e-08  0.00000000e+00  1.79999995e+00 
 2.94750000e-08  0.00000000e+00  1.80000003e+00 
 2.94850000e-08  0.00000000e+00  1.79999995e+00 
 2.94950000e-08  0.00000000e+00  1.80000003e+00 
 2.95050000e-08  0.00000000e+00  1.79999995e+00 
 2.95150000e-08  0.00000000e+00  1.80000003e+00 
 2.95250000e-08  0.00000000e+00  1.79999995e+00 
 2.95350000e-08  0.00000000e+00  1.80000003e+00 
 2.95450000e-08  0.00000000e+00  1.79999995e+00 
 2.95550000e-08  0.00000000e+00  1.80000003e+00 
 2.95650000e-08  0.00000000e+00  1.79999995e+00 
 2.95750000e-08  0.00000000e+00  1.80000003e+00 
 2.95850000e-08  0.00000000e+00  1.79999996e+00 
 2.95950000e-08  0.00000000e+00  1.80000003e+00 
 2.96050000e-08  0.00000000e+00  1.79999995e+00 
 2.96150000e-08  0.00000000e+00  1.80000003e+00 
 2.96250000e-08  0.00000000e+00  1.79999996e+00 
 2.96350000e-08  0.00000000e+00  1.80000003e+00 
 2.96450000e-08  0.00000000e+00  1.79999995e+00 
 2.96550000e-08  0.00000000e+00  1.80000003e+00 
 2.96650000e-08  0.00000000e+00  1.79999996e+00 
 2.96750000e-08  0.00000000e+00  1.80000002e+00 
 2.96850000e-08  0.00000000e+00  1.79999996e+00 
 2.96950000e-08  0.00000000e+00  1.80000003e+00 
 2.97050000e-08  0.00000000e+00  1.79999996e+00 
 2.97150000e-08  0.00000000e+00  1.80000002e+00 
 2.97250000e-08  0.00000000e+00  1.79999996e+00 
 2.97350000e-08  0.00000000e+00  1.80000002e+00 
 2.97450000e-08  0.00000000e+00  1.79999996e+00 
 2.97550000e-08  0.00000000e+00  1.80000002e+00 
